univ_name,alias,address,sinta_id,pddikti_code,author_number,dept_number,journal_number,sinta_score_overall,sinta_score_3yr,sinta_score_productivity,sinta_score_productivity_3yr,scopus_docs,scopus_citation,scopus_cited_doc,scopus_citation_per_researchers,gscholar_docs,gscholar_citation,gscholar_cited_doc,gscholar_citation_per_researchers,wos_docs,wos_citation,wos_cited_doc,wos_citation_per_researchers,garuda_docs,garuda_citation,garuda_cited_doc,garuda_citation_per_researchers
Sekolah Tinggi Ilmu Tarbiyah Al-Ittihadiyah Labuhanbatu Utara,STIT ALITIHADIYAH,"KAB. LABUHANBATU - SUMATERA UTARA, ID",8244307,121,2,0,1,98,47,0,0,0,0,0,0,113,346,53,0,0,0,0,0,0,0,0,0
Sekolah Tinggi Teologi Pantekosta Jakarta,-,"KOTA ADM. JAKARTA TIMUR - DKI JAKARTA, ID",4138,233110,1,2,0,47,47,3,3,0,0,0,0,4,14,2,"0,78",0,0,0,0,0,0,0,0
"Asosiasi Dosen Linguistik, Pendidikan Bahasa, dan Sastra di Indonesia","ADOBSI ASOSIASI DOSEN LINGUISTIK, PENDIDIKAN BAHAS","KOTA SURAKARTA - JAWA TENGAH, ID",8374,0000118,2,0,1,138,46,0,0,0,0,0,0,187,80,41,0,0,0,0,0,0,0,0,0
Sekolah Tinggi Ilmu Administrasi Darul Rachman Tual,-,"KOTA TUAL - MALUKU, ID",3319,123022,4,2,0,55,49,6,5,0,0,0,0,12,43,9,"1,54",0,0,0,0,0,0,0,0
Sekolah Tinggi Agama Islam Al-Munawwaroh Tolitoli,STAI AL-MUNAWWARAH TOLITOLI,"KAB. TOLI TOLI - SULAWESI TENGAH, ID",8244459,213093,1,2,0,48,47,4,4,0,0,0,0,4,1,1,"0,08",0,0,0,0,0,0,0,0
STIE YBPK Palangka Raya,-,"KOTA PALANGKARAYA - KALIMANTAN TENGAH, ID",3204,113059,5,2,0,56,48,6,5,0,0,0,0,17,52,7,"4,00",0,0,0,0,0,0,0,0
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Meranti,-,"KAB. KEPULAUAN MERANTI - KEPULAUAN RIAU, ID",3037,103144,2,2,0,90,48,7,4,0,0,0,0,30,73,13,"5,62",0,0,0,0,2,0,0,0
STKIP Widyaswara Indonesia,-,"KAB. SOLOK SELATAN - SUMATERA BARAT, ID",3013,103113,0,2,0,47,47,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akademi Komunitas Dharma Bhakti Bangka,AK DBB BANGKA,"KAB. BANGKA - KEPULAUAN BANGKA BELITUNG, ID",8474,026002,7,1,0,223,49,37,8,0,0,0,0,39,53,10,"8,83",0,0,0,0,18,0,0,0
Akademi Kebidanan Salma,-,"KAB. SIAK - RIAU, ID",3110,104122,11,1,0,526,49,40,4,0,0,0,0,45,311,21,"19,44",0,0,0,0,0,0,0,0
Politeknik Bisnis Mayasari,POLBIM,"KOTA TASIKMALAYA - JAWA BARAT, ID",8244559,045055,14,3,0,54,49,4,4,0,0,0,0,24,40,11,"2,11",0,0,0,0,0,0,0,0
Sekolah Tinggi Ilmu Ekonomi Ottow & Geissler Serui,-,"- - P A P U A, ID",3475,143011,2,2,0,50,49,5,4,0,0,0,0,1,5,1,"0,28",0,0,0,0,0,0,0,0
Sekolah Tinggi Ilmu Ekonomi Harapan Duri,STIE HARAPAN DURI,"KAB. BENGKALIS - RIAU, ID",8244394,103151,4,2,0,49,47,4,4,0,0,0,0,6,9,3,"0,75",0,0,0,0,0,0,0,0
Sekolah Tinggi Ilmu Ekonomi Santa Ursula,-,"KOTA ADM. JAKARTA BARAT - DKI JAKARTA, ID",1235,033183,0,3,0,49,49,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akademi Kimia Analis Caraka Nusantara,-,"KOTA DEPOK - JAWA BARAT, ID",1282,034095,5,1,0,250,49,50,10,0,0,0,0,115,1.205,62,"92,69",0,0,0,0,2,3,1,"0,23"
Akademi Keperawatan Kesdam I/Bukit Barisan Binjai,-,"KOTA BINJAI - SUMATERA UTARA, ID",811,014223,10,1,0,250,47,31,6,0,0,0,0,382,1.021,153,"63,81",0,0,0,0,0,0,0,0
"STIT Muslim Asia Afrika, Tangerang",-,"KAB. TANGERANG - BANTEN, ID",3999,213479,2,1,0,51,47,6,5,0,0,0,0,23,35,10,"2,50",0,0,0,0,0,0,0,0
Akademi Keperawatan Kesdam Iskandar Muda Lhokseumawe,AKPER KESDAM IM LSM,"KOTA LHOKSEUMAWE - ACEH, ID",3441,134042,9,1,0,61,47,4,3,0,0,0,0,46,26,6,"1,04",0,0,0,0,0,0,0,0
